Index,Activation,Epochs,Learning Rate,MSE Training Data,MSE Testing data
1,sigmoid,1000,0.001,16.9234401876466,3.9280994057490908
2,sigmoid,1000,0.002,16.9234401876466,3.9280994057490908
3,sigmoid,1000,0.003,16.9234401876466,3.9280994057490908
4,sigmoid,1000,0.004,16.9234401876466,3.9280994057490908
5,sigmoid,1000,0.005,16.9234401876466,3.9280994057490908
6,sigmoid,1000,0.006,16.9234401876466,3.9280994057490908
7,sigmoid,1000,0.007,16.9234401876466,3.9280994057490908
8,sigmoid,1000,0.008,16.9234401876466,3.9280994057490908
9,sigmoid,1000,0.009000000000000001,16.923440187646595,3.9280994057490917
10,sigmoid,1000,0.010000000000000002,16.9234401876466,3.9280994057490908
11,sigmoid,800,0.001,16.9234401876466,3.9280994057490908
12,sigmoid,800,0.002,16.9234401876466,3.9280994057490908
13,sigmoid,800,0.003,16.9234401876466,3.9280994057490908
14,sigmoid,800,0.004,16.9234401876466,3.9280994057490908
15,sigmoid,800,0.005,16.9234401876466,3.9280994057490908
16,sigmoid,800,0.006,16.9234401876466,3.9280994057490908
17,sigmoid,800,0.007,16.9234401876466,3.9280994057490908
18,sigmoid,800,0.008,16.9234401876466,3.9280994057490908
19,sigmoid,800,0.009000000000000001,16.9234401876466,3.9280994057490908
20,sigmoid,800,0.010000000000000002,16.9234401876466,3.9280994057490908
21,sigmoid,640,0.001,16.9234401876466,3.9280994057490908
22,sigmoid,640,0.002,16.9234401876466,3.9280994057490908
23,sigmoid,640,0.003,16.9234401876466,3.9280994057490908
24,sigmoid,640,0.004,16.9234401876466,3.9280994057490908
25,sigmoid,640,0.005,16.9234401876466,3.9280994057490908
26,sigmoid,640,0.006,16.9234401876466,3.9280994057490908
27,sigmoid,640,0.007,16.9234401876466,3.9280994057490908
28,sigmoid,640,0.008,16.9234401876466,3.9280994057490908
29,sigmoid,640,0.009000000000000001,16.923440187646595,3.9280994057490917
30,sigmoid,640,0.010000000000000002,16.9234401876466,3.9280994057490908
31,sigmoid,512,0.001,16.9234401876466,3.9280994057490908
32,sigmoid,512,0.002,16.9234401876466,3.9280994057490908
33,sigmoid,512,0.003,16.9234401876466,3.9280994057490908
34,sigmoid,512,0.004,16.9234401876466,3.9280994057490908
35,sigmoid,512,0.005,16.9234401876466,3.9280994057490908
36,sigmoid,512,0.006,16.9234401876466,3.9280994057490908
37,sigmoid,512,0.007,16.9234401876466,3.9280994057490908
38,sigmoid,512,0.008,16.9234401876466,3.9280994057490908
39,sigmoid,512,0.009000000000000001,16.9234401876466,3.9280994057490908
40,sigmoid,512,0.010000000000000002,16.9234401876466,3.9280994057490908
41,sigmoid,409,0.001,16.923440187646595,3.9280994057490943
42,sigmoid,409,0.002,16.9234401876466,3.9280994057490908
43,sigmoid,409,0.003,16.9234401876466,3.9280994057490908
44,sigmoid,409,0.004,16.9234401876466,3.9280994057490908
45,sigmoid,409,0.005,16.9234401876466,3.9280994057490908
46,sigmoid,409,0.006,16.9234401876466,3.9280994057490908
47,sigmoid,409,0.007,16.9234401876466,3.9280994057490908
48,sigmoid,409,0.008,16.9234401876466,3.9280994057490908
49,sigmoid,409,0.009000000000000001,16.923440187646595,3.9280994057490917
50,sigmoid,409,0.010000000000000002,16.9234401876466,3.9280994057490908
51,sigmoid,327,0.001,16.923440187646595,3.9280994057515306
52,sigmoid,327,0.002,16.9234401876466,3.9280994057490908
53,sigmoid,327,0.003,16.9234401876466,3.9280994057490908
54,sigmoid,327,0.004,16.9234401876466,3.9280994057490908
55,sigmoid,327,0.005,16.9234401876466,3.9280994057490908
56,sigmoid,327,0.006,16.9234401876466,3.9280994057490908
57,sigmoid,327,0.007,16.9234401876466,3.9280994057490908
58,sigmoid,327,0.008,16.9234401876466,3.9280994057490908
59,sigmoid,327,0.009000000000000001,16.9234401876466,3.9280994057490908
60,sigmoid,327,0.010000000000000002,16.9234401876466,3.9280994057490908
61,sigmoid,261,0.001,16.923440187646605,3.928099406320548
62,sigmoid,261,0.002,16.9234401876466,3.9280994057490908
63,sigmoid,261,0.003,16.9234401876466,3.9280994057490908
64,sigmoid,261,0.004,16.9234401876466,3.9280994057490908
65,sigmoid,261,0.005,16.9234401876466,3.9280994057490908
66,sigmoid,261,0.006,16.9234401876466,3.9280994057490908
67,sigmoid,261,0.007,16.9234401876466,3.9280994057490908
68,sigmoid,261,0.008,16.9234401876466,3.9280994057490908
69,sigmoid,261,0.009000000000000001,16.9234401876466,3.9280994057490908
70,sigmoid,261,0.010000000000000002,16.9234401876466,3.9280994057490908
71,sigmoid,208,0.001,16.923440187646662,3.928099451447234
72,sigmoid,208,0.002,16.923440187646595,3.9280994057490917
73,sigmoid,208,0.003,16.9234401876466,3.9280994057490908
74,sigmoid,208,0.004,16.9234401876466,3.9280994057490908
75,sigmoid,208,0.005,16.9234401876466,3.9280994057490908
76,sigmoid,208,0.006,16.9234401876466,3.9280994057490908
77,sigmoid,208,0.007,16.9234401876466,3.9280994057490908
78,sigmoid,208,0.008,16.9234401876466,3.9280994057490908
79,sigmoid,208,0.009000000000000001,16.923440187646595,3.9280994057490917
80,sigmoid,208,0.010000000000000002,16.9234401876466,3.9280994057490908
81,sigmoid,166,0.001,16.923440187699182,3.928100877628102
82,sigmoid,166,0.002,16.923440187646595,3.928099405749573
83,sigmoid,166,0.003,16.9234401876466,3.9280994057490908
84,sigmoid,166,0.004,16.9234401876466,3.9280994057490908
85,sigmoid,166,0.005,16.9234401876466,3.9280994057490908
86,sigmoid,166,0.006,16.9234401876466,3.9280994057490908
87,sigmoid,166,0.007,16.9234401876466,3.9280994057490908
88,sigmoid,166,0.008,16.9234401876466,3.9280994057490908
89,sigmoid,166,0.009000000000000001,16.923440187646595,3.9280994057490917
90,sigmoid,166,0.010000000000000002,16.9234401876466,3.9280994057490908
91,sigmoid,132,0.001,16.92344020218024,3.9281238777377983
92,sigmoid,132,0.002,16.923440187646595,3.9280994059206
93,sigmoid,132,0.003,16.923440187646595,3.9280994057490917
94,sigmoid,132,0.004,16.9234401876466,3.9280994057490908
95,sigmoid,132,0.005,16.9234401876466,3.9280994057490908
96,sigmoid,132,0.006,16.9234401876466,3.9280994057490908
97,sigmoid,132,0.007,16.9234401876466,3.9280994057490908
98,sigmoid,132,0.008,16.9234401876466,3.9280994057490908
99,sigmoid,132,0.009000000000000001,16.9234401876466,3.9280994057490908
100,sigmoid,132,0.010000000000000002,16.9234401876466,3.9280994057490908
101,sigmoid,105,0.001,16.923441449982768,3.9283277583944467
102,sigmoid,105,0.002,16.923440187646605,3.9280994239682805
103,sigmoid,105,0.003,16.9234401876466,3.9280994057496628
104,sigmoid,105,0.004,16.9234401876466,3.9280994057490908
105,sigmoid,105,0.005,16.9234401876466,3.9280994057490908
106,sigmoid,105,0.006,16.9234401876466,3.9280994057490908
107,sigmoid,105,0.007,16.9234401876466,3.9280994057490908
108,sigmoid,105,0.008,16.9234401876466,3.9280994057490908
109,sigmoid,105,0.009000000000000001,16.9234401876466,3.9280994057490908
110,sigmoid,105,0.010000000000000002,16.9234401876466,3.9280994057490908
111,sigmoid,84,0.001,16.923480836738765,3.9294036015876257
112,sigmoid,84,0.002,16.92344018765805,3.9281000920235907
113,sigmoid,84,0.003,16.923440187646577,3.9280994059218317
114,sigmoid,84,0.004,16.92344018764661,3.9280994057491085
115,sigmoid,84,0.005,16.9234401876466,3.9280994057490908
116,sigmoid,84,0.006,16.9234401876466,3.9280994057490908
117,sigmoid,84,0.007,16.9234401876466,3.9280994057490908
118,sigmoid,84,0.008,16.9234401876466,3.9280994057490908
119,sigmoid,84,0.009000000000000001,16.9234401876466,3.9280994057490908
120,sigmoid,84,0.010000000000000002,16.9234401876466,3.9280994057490908
121,sigmoid,67,0.001,16.924115390514913,3.9335422712090464
122,sigmoid,67,0.002,16.9234401917178,3.928112357023346
123,sigmoid,67,0.003,16.923440187646605,3.92809942331047
